catsid	catpid	catcost	catqnt	catdate	catchk
1081	991	36.1	300	20/12/2014	TRUE
1081	992	42.3	400	20/12/2014	TRUE
1081	993	15.3	200	03/03/2014	FALSE
1081	994	20.5	100	03/03/2014	FALSE
1081	995	20.5			FALSE
1081	996	124.23			FALSE
1081	997	124.23			FALSE
1081	998	11.7	400	10/09/2014	TRUE
1081	999	75.2			FALSE
1082	991	16.5	200	10/09/2014	TRUE
1082	997	0.55	100	10/09/2014	TRUE
1082	998	7.95	200	03/03/2014	FALSE
1083	998	12.5			FALSE
1083	999	1			FALSE
1084	994	57.3	100	20/12/2014	TRUE
1084	995	22.2			FALSE
1084	998	48.6	200	20/12/2014	TRUE
